Sex,WorkingAge,FieldOfEducation,EducationalAttainment,Population
,,,Post-secondary: Post-graduate,2647
,,,Sub-Total,14155
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,356
,,,Post-secondary: Diploma/ Certificate,2702
,,,Post-secondary: Sub-degree course,1772
,,,Post-secondary: Degree course,6561
,,,Post-secondary: Post-graduate,2715
,,,Sub-Total,14106
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,308
,,,Post-secondary: Sub-degree course,252
,,,Post-secondary: Degree course,446
,,,Post-secondary: Post-graduate,112
,,,Sub-Total,1118
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,379
,,,Post-secondary: Diploma/ Certificate,1217
,,,Post-secondary: Sub-degree course,1194
,,,Post-secondary: Degree course,3646
,,,Post-secondary: Post-graduate,1885
,,,Sub-Total,8321
,,No schooling,No schooling,20
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,20
,,Sub-Total,No schooling,20
,,,Pre-primary,452
,,,Primary,5148
,,,Lower secondary,21660
,,,Upper secondary,50140
,,,Matriculation (including Technician level),7242
,,,Craft level education,1310
,,,Post-secondary: Diploma/ Certificate,18307
,,,Post-secondary: Sub-degree course,13160
,,,Post-secondary: Degree course,65937
,,,Post-secondary: Post-graduate,24273
,,,Sub-Total,207649
,35 - 39,Secondary and below,No schooling,-
,,,Pre-primary,736
,,,Primary,8646
,,,Lower secondary,29238
,,,Upper secondary,48062
,,,Matriculation (including Technician level),8680
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,95362
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,108
,,,Post-secondary: Diploma/ Certificate,1595
,,,Post-secondary: Sub-degree course,1304
,,,Post-secondary: Degree course,6020
,,,Post-secondary: Post-graduate,2916
,,,Sub-Total,11943
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,465
,,,Post-secondary: Sub-degree course,354
,,,Post-secondary: Degree course,3761
,,,Post-secondary: Post-graduate,2033
,,,Sub-Total,6613
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,323
,,,Post-secondary: Sub-degree course,151
,,,Post-secondary: Degree course,995
,,,Post-secondary: Post-graduate,989
,,,Sub-Total,2458
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,40
,,,Post-secondary: Diploma/ Certificate,3284
,,,Post-secondary: Sub-degree course,2042
,,,Post-secondary: Degree course,17105
,,,Post-secondary: Post-graduate,7432
,,,Sub-Total,29903
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,28
,,,Post-secondary: Diploma/ Certificate,2164
,,,Post-secondary: Sub-degree course,1547
,,,Post-secondary: Degree course,10710
,,,Post-secondary: Post-graduate,3213
