Sex,WorkingAge,FieldOfEducation,EducationalAttainment,Population
,,,Post-secondary: Post-graduate,26971
,,,Total,135460
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,104
,,,Post-secondary: Diploma/ Certificate,3914
,,,Post-secondary: Sub-degree course,2736
,,,Post-secondary: Degree course,19664
,,,Post-secondary: Post-graduate,7141
,,,Total,33559
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,8110
,,,Post-secondary: Sub-degree course,4610
,,,Post-secondary: Degree course,21276
,,,Post-secondary: Post-graduate,10175
,,,Total,44171
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,510
,,,Post-secondary: Diploma/ Certificate,51376
,,,Post-secondary: Sub-degree course,32497
,,,Post-secondary: Degree course,140658
,,,Post-secondary: Post-graduate,33239
,,,Total,258280
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,135
,,,Post-secondary: Diploma/ Certificate,4610
,,,Post-secondary: Sub-degree course,2972
,,,Post-secondary: Degree course,13753
,,,Post-secondary: Post-graduate,4068
,,,Total,25538
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,8951
,,,Post-secondary: Sub-degree course,4909
,,,Post-secondary: Degree course,21675
,,,Post-secondary: Post-graduate,8366
,,,Total,43901
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,243
,,,Post-secondary: Diploma/ Certificate,6142
,,,Post-secondary: Sub-degree course,3846
,,,Post-secondary: Degree course,16128
,,,Post-secondary: Post-graduate,5872
,,,Total,32231
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,145
,,,Post-secondary: Diploma/ Certificate,3395
,,,Post-secondary: Sub-degree course,2205
,,,Post-secondary: Degree course,10386
,,,Post-secondary: Post-graduate,3700
,,,Total,19831
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,469
,,,Post-secondary: Diploma/ Certificate,3785
,,,Post-secondary: Sub-degree course,2916
,,,Post-secondary: Degree course,4357
,,,Post-secondary: Post-graduate,676
,,,Total,12203
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,1505
,,,Post-secondary: Diploma/ Certificate,11720
,,,Post-secondary: Sub-degree course,7961
,,,Post-secondary: Degree course,32070
,,,Post-secondary: Post-graduate,11529
,,,Total,64785
,,No schooling,No schooling,18612
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Total,18612
,,Sub-Total,No schooling,18612
,,,Pre-primary,52324
,,,Primary,138693
,,,Lower secondary,199403
,,,Upper secondary,394879
,,,Matriculation (including Technician level),61564
,,,Craft level education,3924
,,,Post-secondary: Diploma/ Certificate,120646
,,,Post-secondary: Sub-degree course,79610
,,,Post-secondary: Degree course,354042
,,,Post-secondary: Post-graduate,111737
,,,Sub-Total,1535434
Total,15 - 19,Secondary and below,No schooling,-
,,,Pre-primary,69
,,,Primary,1621
,,,Lower secondary,20953
,,,Upper secondary,18447
,,,Matriculation (including Technician level),331
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Total,41421
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,46
,,,Post-secondary: Diploma/ Certificate,859
,,,Post-secondary: Sub-degree course,486
,,,Post-secondary: Degree course,825
,,,Post-secondary: Post-graduate,12
,,,Total,2228
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,203
,,,Post-secondary: Sub-degree course,64
,,,Post-secondary: Degree course,314
,,,Post-secondary: Post-graduate,-
,,,Total,581
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,119
,,,Post-secondary: Sub-degree course,67
,,,Post-secondary: Degree course,85
,,,Post-secondary: Post-graduate,-
,,,Total,271
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,1007
,,,Post-secondary: Sub-degree course,436
,,,Post-secondary: Degree course,1102
,,,Post-secondary: Post-graduate,-
,,,Total,2545
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,246
,,,Post-secondary: Sub-degree course,176
,,,Post-secondary: Degree course,100
,,,Post-secondary: Post-graduate,-
,,,Total,522
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,288
,,,Post-secondary: Sub-degree course,134
,,,Post-secondary: Degree course,174
,,,Post-secondary: Post-graduate,-
,,,Total,596
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,30
,,,Post-secondary: Diploma/ Certificate,367
,,,Post-secondary: Sub-degree course,218
,,,Post-secondary: Degree course,306
,,,Post-secondary: Post-graduate,-
,,,Total,921
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,34
,,,Post-secondary: Diploma/ Certificate,359
,,,Post-secondary: Sub-degree course,169
,,,Post-secondary: Degree course,258
,,,Post-secondary: Post-graduate,-
,,,Total,820
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,41
,,,Post-secondary: Sub-degree course,22
,,,Post-secondary: Degree course,13
,,,Post-secondary: Post-graduate,-
,,,Total,76
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,144
,,,Post-secondary: Diploma/ Certificate,708
,,,Post-secondary: Sub-degree course,355
,,,Post-secondary: Degree course,327
,,,Post-secondary: Post-graduate,-
,,,Total,1534
,,No schooling,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Total,-
,,Total,No schooling,-
,,,Pre-primary,69
,,,Primary,1621
,,,Lower secondary,20953
,,,Upper secondary,18447
,,,Matriculation (including Technician level),331
,,,Craft level education,254
,,,Post-secondary: Diploma/ Certificate,4197
,,,Post-secondary: Sub-degree course,2127
,,,Post-secondary: Degree course,3504
,,,Post-secondary: Post-graduate,12
,,,Total,51515
,20 - 24,Secondary and below,No schooling,-
,,,Pre-primary,188
,,,Primary,2801
,,,Lower secondary,18476
,,,Upper secondary,69806
,,,Matriculation (including Technician level),7078
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Total,98349
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,104
,,,Post-secondary: Diploma/ Certificate,6085
,,,Post-secondary: Sub-degree course,5459
,,,Post-secondary: Degree course,14057
,,,Post-secondary: Post-graduate,946
,,,Total,26651
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,1493
,,,Post-secondary: Sub-degree course,1222
,,,Post-secondary: Degree course,5389
,,,Post-secondary: Post-graduate,308
,,,Total,8412
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,1687
,,,Post-secondary: Sub-degree course,1015
,,,Post-secondary: Degree course,1791
,,,Post-secondary: Post-graduate,235
,,,Total,4728
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,42
,,,Post-secondary: Diploma/ Certificate,9074
,,,Post-secondary: Sub-degree course,6747
,,,Post-secondary: Degree course,25666
,,,Post-secondary: Post-graduate,1219
,,,Total,42748
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,67
,,,Post-secondary: Diploma/ Certificate,2695
,,,Post-secondary: Sub-degree course,1937
,,,Post-secondary: Degree course,4121
,,,Post-secondary: Post-graduate,299
,,,Total,9119
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,2262
,,,Post-secondary: Sub-degree course,1484
,,,Post-secondary: Degree course,3395
,,,Post-secondary: Post-graduate,45
,,,Total,7186
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,229
,,,Post-secondary: Diploma/ Certificate,3821
,,,Post-secondary: Sub-degree course,3109
,,,Post-secondary: Degree course,5478
,,,Post-secondary: Post-graduate,381
,,,Total,13018
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,280
,,,Post-secondary: Diploma/ Certificate,3674
,,,Post-secondary: Sub-degree course,1895
,,,Post-secondary: Degree course,4057
,,,Post-secondary: Post-graduate,402
,,,Total,10308
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,45
,,,Post-secondary: Diploma/ Certificate,426
,,,Post-secondary: Sub-degree course,425
,,,Post-secondary: Degree course,577
,,,Post-secondary: Post-graduate,62
,,,Total,1535
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,515
,,,Post-secondary: Diploma/ Certificate,4523
,,,Post-secondary: Sub-degree course,3860
,,,Post-secondary: Degree course,6791
,,,Post-secondary: Post-graduate,529
,,,Total,16218
,,No schooling,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Total,-
,,Total,No schooling,-
,,,Pre-primary,188
,,,Primary,2801
,,,Lower secondary,18476
,,,Upper secondary,69806
,,,Matriculation (including Technician level),7078
,,,Craft level education,1282
,,,Post-secondary: Diploma/ Certificate,35740
,,,Post-secondary: Sub-degree course,27153
,,,Post-secondary: Degree course,71322
,,,Post-secondary: Post-graduate,4426
,,,Total,238272
,25 - 29,Secondary and below,No schooling,-
,,,Pre-primary,482
,,,Primary,4504
,,,Lower secondary,23543
,,,Upper secondary,75138
,,,Matriculation (including Technician level),14910
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Total,118577
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,116
,,,Post-secondary: Diploma/ Certificate,6481
,,,Post-secondary: Sub-degree course,6167
,,,Post-secondary: Degree course,28429
,,,Post-secondary: Post-graduate,6117
,,,Total,47310
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,40
,,,Post-secondary: Diploma/ Certificate,1606
,,,Post-secondary: Sub-degree course,1278
,,,Post-secondary: Degree course,10760
,,,Post-secondary: Post-graduate,2808
,,,Total,16492
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,1671
,,,Post-secondary: Sub-degree course,1046
,,,Post-secondary: Degree course,5028
,,,Post-secondary: Post-graduate,1571
,,,Total,9316
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,102
,,,Post-secondary: Diploma/ Certificate,13455
,,,Post-secondary: Sub-degree course,9792
,,,Post-secondary: Degree course,56405
,,,Post-secondary: Post-graduate,7652
,,,Total,87406
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,78
,,,Post-secondary: Diploma/ Certificate,3994
,,,Post-secondary: Sub-degree course,2672
,,,Post-secondary: Degree course,9302
,,,Post-secondary: Post-graduate,1729
,,,Total,17775
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,2182
,,,Post-secondary: Sub-degree course,1494
,,,Post-secondary: Degree course,7497
,,,Post-secondary: Post-graduate,1388
,,,Total,12561
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,208
,,,Post-secondary: Diploma/ Certificate,3800
,,,Post-secondary: Sub-degree course,2687
,,,Post-secondary: Degree course,9887
,,,Post-secondary: Post-graduate,3196
,,,Total,19778
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,191
,,,Post-secondary: Diploma/ Certificate,3228
,,,Post-secondary: Sub-degree course,2383
,,,Post-secondary: Degree course,9505
,,,Post-secondary: Post-graduate,2040
,,,Total,17347
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,85
,,,Post-secondary: Diploma/ Certificate,768
,,,Post-secondary: Sub-degree course,595
,,,Post-secondary: Degree course,1578
,,,Post-secondary: Post-graduate,126
,,,Total,3152
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,486
,,,Post-secondary: Diploma/ Certificate,4657
,,,Post-secondary: Sub-degree course,2975
,,,Post-secondary: Degree course,12326
,,,Post-secondary: Post-graduate,3364
,,,Total,23808
,,No schooling,No schooling,30
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Total,30
,,Total,No schooling,30
,,,Pre-primary,482
,,,Primary,4504
,,,Lower secondary,23543
,,,Upper secondary,75138
,,,Matriculation (including Technician level),14910
,,,Craft level education,1306
,,,Post-secondary: Diploma/ Certificate,41842
,,,Post-secondary: Sub-degree course,31089
,,,Post-secondary: Degree course,150717
,,,Post-secondary: Post-graduate,29991
,,,Total,373552
,30 - 34,Secondary and below,No schooling,-
,,,Pre-primary,1004
,,,Primary,8158
,,,Lower secondary,33150
,,,Upper secondary,91706
,,,Matriculation (including Technician level),15926
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Total,149944
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,311
,,,Post-secondary: Diploma/ Certificate,5605
,,,Post-secondary: Sub-degree course,4453
,,,Post-secondary: Degree course,21898
,,,Post-secondary: Post-graduate,9304
,,,Total,41571
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,47
,,,Post-secondary: Diploma/ Certificate,1234
,,,Post-secondary: Sub-degree course,719
,,,Post-secondary: Degree course,8753
,,,Post-secondary: Post-graduate,4353
,,,Total,15106
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,1178
,,,Post-secondary: Sub-degree course,736
,,,Post-secondary: Degree course,4495
,,,Post-secondary: Post-graduate,2862
,,,Total,9271
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,114
,,,Post-secondary: Diploma/ Certificate,12365
,,,Post-secondary: Sub-degree course,8575
,,,Post-secondary: Degree course,52604
,,,Post-secondary: Post-graduate,11960
,,,Total,85618
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,96
,,,Post-secondary: Diploma/ Certificate,3825
,,,Post-secondary: Sub-degree course,2867
,,,Post-secondary: Degree course,11635
,,,Post-secondary: Post-graduate,3410
,,,Total,21833
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,1516
,,,Post-secondary: Sub-degree course,634
,,,Post-secondary: Degree course,5250
,,,Post-secondary: Post-graduate,2730
,,,Total,10130
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,345
,,,Post-secondary: Diploma/ Certificate,3707
,,,Post-secondary: Sub-degree course,2213
,,,Post-secondary: Degree course,10489
,,,Post-secondary: Post-graduate,4138
,,,Total,20892
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,366
,,,Post-secondary: Diploma/ Certificate,3164
,,,Post-secondary: Sub-degree course,2156
,,,Post-secondary: Degree course,8850
,,,Post-secondary: Post-graduate,3547
,,,Total,18083
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,60
,,,Post-secondary: Diploma/ Certificate,1030
,,,Post-secondary: Sub-degree course,968
,,,Post-secondary: Degree course,1376
,,,Post-secondary: Post-graduate,279
,,,Total,3713
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,564
,,,Post-secondary: Diploma/ Certificate,2906
,,,Post-secondary: Sub-degree course,2439
,,,Post-secondary: Degree course,10308
,,,Post-secondary: Post-graduate,4409
,,,Total,20626
,,No schooling,No schooling,41
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Total,41
,,Total,No schooling,41
,,,Pre-primary,1004
,,,Primary,8158
,,,Lower secondary,33150
,,,Upper secondary,91706
,,,Matriculation (including Technician level),15926
,,,Craft level education,1903
,,,Post-secondary: Diploma/ Certificate,36530
,,,Post-secondary: Sub-degree course,25760
,,,Post-secondary: Degree course,135658
,,,Post-secondary: Post-graduate,46992
,,,Total,396828
,35 - 39,Secondary and below,No schooling,-
,,,Pre-primary,1912
,,,Primary,15166
,,,Lower secondary,48716
,,,Upper secondary,91621
,,,Matriculation (including Technician level),16587
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Total,174002
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,191
,,,Post-secondary: Diploma/ Certificate,3357
,,,Post-secondary: Sub-degree course,2763
,,,Post-secondary: Degree course,14714
,,,Post-secondary: Post-graduate,7985
,,,Total,29010
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,20
,,,Post-secondary: Diploma/ Certificate,902
,,,Post-secondary: Sub-degree course,627
,,,Post-secondary: Degree course,6768
,,,Post-secondary: Post-graduate,3793
,,,Total,12110
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,1483
,,,Post-secondary: Sub-degree course,726
,,,Post-secondary: Degree course,4819
,,,Post-secondary: Post-graduate,2843
,,,Total,9871
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,64
,,,Post-secondary: Diploma/ Certificate,10563
,,,Post-secondary: Sub-degree course,6395
,,,Post-secondary: Degree course,38980
,,,Post-secondary: Post-graduate,13082
,,,Total,69084
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,46
,,,Post-secondary: Diploma/ Certificate,2820
,,,Post-secondary: Sub-degree course,1966
,,,Post-secondary: Degree course,13175
,,,Post-secondary: Post-graduate,4371
,,,Total,22378
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,1199
,,,Post-secondary: Sub-degree course,568
,,,Post-secondary: Degree course,3657
,,,Post-secondary: Post-graduate,2693
,,,Total,8117
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,355
,,,Post-secondary: Diploma/ Certificate,3603
,,,Post-secondary: Sub-degree course,2038
,,,Post-secondary: Degree course,8592
,,,Post-secondary: Post-graduate,3877
,,,Total,18465
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,520
,,,Post-secondary: Diploma/ Certificate,3580
,,,Post-secondary: Sub-degree course,2143
,,,Post-secondary: Degree course,8979
,,,Post-secondary: Post-graduate,3946
,,,Total,19168
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,28
,,,Post-secondary: Diploma/ Certificate,856
,,,Post-secondary: Sub-degree course,712
,,,Post-secondary: Degree course,1222
,,,Post-secondary: Post-graduate,283
,,,Total,3101
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,642
,,,Post-secondary: Diploma/ Certificate,2193
,,,Post-secondary: Sub-degree course,1316
,,,Post-secondary: Degree course,6677
,,,Post-secondary: Post-graduate,3773
,,,Total,14601
,,No schooling,No schooling,118
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Total,118
,,Total,No schooling,118
,,,Pre-primary,1912
,,,Primary,15166
,,,Lower secondary,48716
,,,Upper secondary,91621
,,,Matriculation (including Technician level),16587
,,,Craft level education,1866
,,,Post-secondary: Diploma/ Certificate,30556
,,,Post-secondary: Sub-degree course,19254
,,,Post-secondary: Degree course,107583
,,,Post-secondary: Post-graduate,46646
,,,Total,380025
,40 - 44,Secondary and below,No schooling,-
,,,Pre-primary,6267
,,,Primary,29344
,,,Lower secondary,72713
,,,Upper secondary,102907
,,,Matriculation (including Technician level),14873
,,,Craft level education,-
